total_cost,holding_cost,expedite_cost,lost_sales_cost
385094.8598251156,110187.2088188855,274907.6510062301,0.0
315876.82401720854,104213.63929547866,211663.18472172986,0.0
103679.84017525759,103679.84017525759,0.0,0.0
341484.4723357408,115303.15629397302,226181.31604176777,0.0
112573.12984656946,112573.12984656946,0.0,0.0
532997.3494827632,185818.34457435383,290486.0849721754,56692.919936233964
525655.1924814912,102584.80231652055,225854.693254827,197215.69691014377
357250.00997586217,120853.14165262906,236396.8683232331,0.0
109651.07774909749,109651.07774909749,0.0,0.0
128129.91335161684,118521.13000293446,0.0,9608.783348682375
84701.37417773438,84701.37417773438,0.0,0.0
732493.0301204324,160549.891047132,247729.8029907058,324213.3360825946
188607.74003476143,103241.72096717454,0.0,85366.01906758691
105126.98721941633,105126.98721941633,0.0,0.0
96355.11667416597,96355.11667416597,0.0,0.0
101390.38409270284,101390.38409270284,0.0,0.0
104026.35502021373,104026.35502021373,0.0,0.0
98669.20925196166,98669.20925196166,0.0,0.0
556875.199277471,136422.46843144475,420452.73084602633,0.0
489693.03551266354,156367.55268550882,333325.4828271547,0.0
107447.00888320252,107447.00888320252,0.0,0.0
95640.07481044484,95640.07481044484,0.0,0.0
87327.96293431148,87327.96293431148,0.0,0.0
578972.8323368039,128153.50063201562,450819.33170478826,0.0
424138.43648953433,145044.61623037772,256786.87374124047,22306.946517916193
336295.00908238464,133106.87697294937,0.0,203188.13210943528
733535.073210151,169329.7954984229,564205.2777117281,0.0
110205.10304856421,110205.10304856421,0.0,0.0
80405.31957087612,80405.31957087612,0.0,0.0
420615.80070175754,152234.7136322834,268381.0870694741,0.0
632493.0189448132,154234.60677618242,478258.41216863075,0.0
261611.61541804607,116640.92586238861,0.0,144970.68955565747
107138.93724478592,107138.93724478592,0.0,0.0
414506.2251426304,118884.15161695683,295622.0735256736,0.0
295616.72426292737,86886.88546267878,208729.83880024857,0.0
364384.7686408339,120897.91475476736,243486.85388606656,0.0
92437.96959110946,92437.96959110946,0.0,0.0
103040.12271379148,103040.12271379148,0.0,0.0
414088.7159449881,130460.05184944646,263602.2100885525,20026.45400698914
81264.96673204667,81264.96673204667,0.0,0.0
98274.37358446483,80722.08314059486,0.0,17552.290443869973
394264.79750622716,122273.1544751239,271991.64303110325,0.0
947833.8428674253,192512.47769781356,623732.253623347,131589.11154626476
673936.4752319031,179908.05035195974,494028.4248799434,0.0
459246.1544024425,109898.99639995216,0.0,349347.15800249035
754144.7532681896,182733.4142405764,0.0,571411.3390276132
91867.12818306242,91867.12818306242,0.0,0.0
122509.83820879519,122509.83820879519,0.0,0.0
77259.51184123976,77259.51184123976,0.0,0.0
129866.36215999743,94580.68993522979,0.0,35285.67222476763
117755.94258414075,110669.60340426343,0.0,7086.339179877325
374024.985198646,109537.58635416029,264487.39884448575,0.0
105845.29565918278,105845.29565918278,0.0,0.0
513557.35917966877,159425.69580955405,240202.56925366833,113929.0941164464
107189.59286707065,107189.59286707065,0.0,0.0
110069.9116397248,110069.9116397248,0.0,0.0
104738.45212689773,104738.45212689773,0.0,0.0
180912.7830058973,107422.34614008783,0.0,73490.43686580948
101099.28693454235,101099.28693454235,0.0,0.0
504819.42890771525,171670.7068707361,297611.97025668237,35536.75178029682
439755.2494989148,137161.61673545002,302593.6327634648,0.0
406593.2788657766,120737.43966596868,285855.8391998079,0.0
115697.13135065812,115697.13135065812,0.0,0.0
100257.2198925409,100257.2198925409,0.0,0.0
693931.3519324723,170078.46635506427,523852.8855774081,0.0
556724.1752144839,131677.7913159886,254847.23391888125,170199.149979614
110519.9564871467,110519.9564871467,0.0,0.0
381425.90673171874,111937.59088025533,269488.3158514634,0.0
251769.69531673542,85295.6138609101,166474.0814558253,0.0
113271.32237306188,113271.32237306188,0.0,0.0
749780.2910658574,171272.8803271238,578507.4107387336,0.0
86936.21060869757,86936.21060869757,0.0,0.0
80463.73031417186,80463.73031417186,0.0,0.0
85470.8628269709,85470.8628269709,0.0,0.0
88162.32231053614,88162.32231053614,0.0,0.0
120048.73668212385,120048.73668212385,0.0,0.0
426962.13299130904,128830.95239463494,298131.1805966741,0.0
106502.63631684247,106502.63631684247,0.0,0.0
119509.54363596118,119509.54363596118,0.0,0.0
641940.8804005473,170610.08556154562,471330.7948390016,0.0
956094.2449348185,187243.15576302243,768851.0891717961,0.0
338705.74929651024,120333.16519098422,218372.584105526,0.0
114287.53065489918,114287.53065489918,0.0,0.0
648804.0923774694,170624.62178019102,478179.4705972783,0.0
101045.77209432273,101045.77209432273,0.0,0.0
714315.2255263973,196947.9516184196,517367.27390797774,0.0
190508.99951773172,101536.65942356245,0.0,88972.34009416928
91873.33357502967,91873.33357502967,0.0,0.0
145594.82360348912,117632.68374644029,0.0,27962.139857048824
343353.33104180347,110709.56419466827,232643.7668471352,0.0
100882.17451142373,100882.17451142373,0.0,0.0
560389.6155156848,160726.30681039518,0.0,399663.3087052896
400075.714133712,141839.06000861063,246481.64127344565,11755.012851655694
404740.6413770981,143943.3464662182,260797.2949108799,0.0
79840.91873539578,79840.91873539578,0.0,0.0
333508.216452592,127402.94674649935,0.0,206105.26970609266
93743.55427023083,93743.55427023083,0.0,0.0
102895.8758779009,102895.8758779009,0.0,0.0
107117.47021197586,107117.47021197586,0.0,0.0
415857.48776514095,147486.78636348638,268370.7014016546,0.0
79973.0258389914,79973.0258389914,0.0,0.0
594449.9725987024,161647.1432784768,295668.3290810386,137134.5002391871
108536.66698304946,108536.66698304946,0.0,0.0
123689.00417583302,92538.34323426533,0.0,31150.660941567694
99129.49648412188,99129.49648412188,0.0,0.0
634235.5549205629,154393.03735886453,479842.51756169833,0.0
182835.9231870759,90788.48244614125,0.0,92047.44074093466
623038.3780746643,154889.6561740569,468148.7219006074,0.0
118990.14206871555,118990.14206871555,0.0,0.0
339185.42020185164,112426.53970876176,226758.88049308985,0.0
176676.42626897088,110808.30936020291,0.0,65868.11690876796
598720.0371978227,133280.50397189407,388053.5518647928,77385.98136113578
167028.92486110976,113079.07587536892,0.0,53949.84898574084
374199.3419928092,97338.85391268562,276860.4880801236,0.0
127077.625362409,127077.625362409,0.0,0.0
77571.75356397174,77571.75356397174,0.0,0.0
84474.91641929884,84474.91641929884,0.0,0.0
443666.6401491581,165912.11898869934,277754.52116045874,0.0
423905.5964970141,155927.46640095132,267978.1300960628,0.0
649461.7249093803,182480.34084421425,466981.3840651661,0.0
111385.2572503765,111385.2572503765,0.0,0.0
